id	trip_id	stage	provider	model	prompt_tokens	completion_tokens	total_tokens	duration_ms	success	error_code	error_msg	created_at
2050	338	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「晋中风味面馆」：结束时间 18:30 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 20:42:26
2051	338	COMPOSE	glm	glm-5.3-flash	1538	840	2378	22169	1	NULL		2026-09-23 20:42:48
2052	338	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:42:48
2053	338	ROUTE	map	NULL	NULL	NULL	NULL	65509	1	NULL		2026-09-23 20:42:48
2054	338	COPY	glm	glm-5.3-flash	1118	437	1555	16859	1	NULL		2026-09-23 20:43:05
2055	339	PARSE	glm	glm-5.3-flash	1070	85	1155	3295	1	NULL		2026-09-23 20:43:08
2056	339	CANDIDATE	glm	glm-5.3-flash	698	1041	1739	44632	1	NULL		2026-09-23 20:43:53
2057	339	COMPOSE	glm	glm-5.3-flash	1368	1138	2506	30294	1	NULL		2026-09-23 20:44:23
2058	339	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「平定饭庄」：结束时间 18:40 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 20:44:23
2059	339	COMPOSE	glm	glm-5.3-flash	1472	1385	2857	35970	1	NULL		2026-09-23 20:44:59
2060	339	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:44:59
2061	339	ROUTE	map	NULL	NULL	NULL	NULL	114286	1	NULL		2026-09-23 20:44:59
2062	339	COPY	glm	glm-5.3-flash	1247	483	1730	20582	1	NULL		2026-09-23 20:45:20
2063	340	PARSE	glm	glm-5.3-flash	1070	77	1147	3206	1	NULL		2026-09-23 20:45:23
2064	340	CANDIDATE	glm	glm-5.3-flash	698	706	1404	27209	1	NULL		2026-09-23 20:45:50
2065	340	COMPOSE	glm	glm-5.3-flash	1256	611	1867	19442	1	NULL		2026-09-23 20:46:10
2066	340	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:46:10
2067	340	ROUTE	map	NULL	NULL	NULL	NULL	49922	1	NULL		2026-09-23 20:46:10
2068	340	COPY	glm	glm-5.3-flash	926	323	1249	12442	1	NULL		2026-09-23 20:46:22
2069	341	PARSE	glm	glm-5.3-flash	1070	172	1242	7492	1	NULL		2026-09-23 20:48:32
2070	341	CANDIDATE	glm	glm-5.3-flash	698	728	1426	26183	1	NULL		2026-09-23 20:48:58
2071	341	COMPOSE	glm	glm-5.3-flash	1315	979	2294	24764	1	NULL		2026-09-23 20:49:23
2072	341	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:49:23
2073	341	ROUTE	map	NULL	NULL	NULL	NULL	58513	1	NULL		2026-09-23 20:49:23
2074	343	PARSE	glm	glm-5.3-flash	1070	109	1179	4127	1	NULL		2026-09-23 20:51:03
2075	343	CANDIDATE	glm	glm-5.3-flash	698	497	1195	20136	1	NULL		2026-09-23 20:51:23
2076	343	COMPOSE	glm	glm-5.3-flash	1099	1173	2272	29890	1	NULL		2026-09-23 20:51:53
2077	343	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:51:53
2078	343	ROUTE	map	NULL	NULL	NULL	NULL	54335	1	NULL		2026-09-23 20:51:54
2079	345	PARSE	glm	glm-5.3-flash	1070	121	1191	3725	1	NULL		2026-09-23 20:54:33
2080	345	CANDIDATE	glm	glm-5.3-flash	704	928	1632	31524	1	NULL		2026-09-23 20:55:04
2081	345	COMPOSE	glm	glm-5.3-flash	1443	1071	2514	28231	1	NULL		2026-09-23 20:55:32
2082	345	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「寿阳茶食老字号糕点铺（城区老街一带）」：结束时间 18:15 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 20:55:32
2083	345	COMPOSE	glm	glm-5.3-flash	1558	929	2487	25141	1	NULL		2026-09-23 20:55:58
2084	345	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:55:58
2085	345	ROUTE	map	NULL	NULL	NULL	NULL	88788	1	NULL		2026-09-23 20:55:58
2086	345	COPY	glm	glm-5.3-flash	1189	503	1692	18720	1	NULL		2026-09-23 20:56:16
2087	346	PARSE	glm	glm-5.3-flash	1070	113	1183	3119	1	NULL		2026-09-23 20:56:20
2088	346	CANDIDATE	glm	glm-5.3-flash	698	952	1650	41373	1	NULL		2026-09-23 20:57:01
2089	346	COMPOSE	glm	glm-5.3-flash	1355	755	2110	18185	1	NULL		2026-09-23 20:57:19
2090	346	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:57:19
2091	346	ROUTE	map	NULL	NULL	NULL	NULL	62790	1	NULL		2026-09-23 20:57:19
2092	346	COPY	NULL	NULL	NULL	NULL	NULL	11535	0	CLIENT_DISCONNECTED	客户端断开已中断，已产出 312 tokens，按均值估算本次节省约 433 tokens；已产出 445 字符；已停止后续生成。取消原因：客户端断开（发送 delta 事件失败：AsyncRequestNotUsableException）	2026-09-23 20:57:31
2093	347	PARSE	glm	glm-5.3-flash	1070	111	1181	3025	1	NULL		2026-09-23 20:58:54
2094	347	CANDIDATE	glm	glm-5.3-flash	698	807	1505	23641	1	NULL		2026-09-23 20:59:18
2095	347	COMPOSE	glm	glm-5.3-flash	1425	864	2289	24960	1	NULL		2026-09-23 20:59:43
2096	347	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:59:43
2097	347	ROUTE	map	NULL	NULL	NULL	NULL	51706	1	NULL		2026-09-23 20:59:43
2098	348	PARSE	glm	glm-5.3-flash	1070	192	1262	5692	1	NULL		2026-09-23 20:59:56
2099	347	COPY	glm	glm-5.3-flash	1121	445	1566	15817	1	NULL		2026-09-23 20:59:58
2100	348	CANDIDATE	glm	glm-5.3-flash	704	615	1319	21709	1	NULL		2026-09-23 21:00:18
2101	348	COMPOSE	glm	glm-5.3-flash	1378	1126	2504	29279	1	NULL		2026-09-23 21:00:47
2102	348	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 21:00:47
2103	348	ROUTE	map	NULL	NULL	NULL	NULL	56788	1	NULL		2026-09-23 21:00:47
2104	349	PARSE	glm	glm-5.3-flash	1070	107	1177	4013	1	NULL		2026-09-23 21:00:58
2105	348	COPY	NULL	NULL	NULL	NULL	NULL	15373	0	CLIENT_DISCONNECTED	客户端断开已中断，已产出 416 tokens，按均值估算本次节省约 435 tokens；已产出 582 字符；已停止后续生成。取消原因：客户端断开（发送 delta 事件失败：AsyncRequestNotUsableException）	2026-09-23 21:01:02
2106	349	CANDIDATE	glm	glm-5.3-flash	698	1024	1722	36269	1	NULL		2026-09-23 21:01:34
2107	349	COMPOSE	glm	glm-5.3-flash	1442	1260	2702	27891	1	NULL		2026-09-23 21:02:02
2108	349	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「顺溜刀削面（寿阳店）」：结束时间 18:30 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 21:02:02
2109	349	COMPOSE	glm	glm-5.3-flash	1552	1043	2595	27723	1	NULL		2026-09-23 21:02:30
2110	349	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 1 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 1 天 的「东九蒸肉（晋中风味馆）」：结束时间 18:30 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 21:02:30
2111	349	ROUTE	map	NULL	NULL	NULL	NULL	95989	1	NULL		2026-09-23 21:02:30
2112	350	PARSE	glm	glm-5.3-flash	1070	210	1280	7080	1	NULL		2026-09-23 21:02:45
2113	349	COPY	glm	glm-5.3-flash	1202	435	1637	16621	1	NULL		2026-09-23 21:02:46
2114	350	CANDIDATE	glm	glm-5.3-flash	698	637	1335	24779	1	NULL		2026-09-23 21:03:10
2115	350	COMPOSE	glm	glm-5.3-flash	1306	902	2208	24493	1	NULL		2026-09-23 21:03:35
2116	350	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 21:03:35
2117	350	ROUTE	map	NULL	NULL	NULL	NULL	56429	1	NULL		2026-09-23 21:03:35
2118	351	PARSE	glm	glm-5.3-flash	1070	95	1165	2047	1	NULL		2026-09-23 21:03:46
2119	350	COPY	glm	glm-5.3-flash	1089	429	1518	13650	1	NULL		2026-09-23 21:03:48
2120	351	CANDIDATE	glm	glm-5.3-flash	698	764	1462	25621	1	NULL		2026-09-23 21:04:12
2121	351	COMPOSE	glm	glm-5.3-flash	1372	1173	2545	11690	1	NULL		2026-09-23 21:04:23
2122	351	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「平遥古城」：结束时间 18:30 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 21:04:23
2123	351	COMPOSE	glm	glm-5.3-flash	1475	1457	2932	34673	1	NULL		2026-09-23 21:04:58
2124	351	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 1 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 1 天 的「龙栖湖（石门水库）」：与上一项「龙栖湖（石门水库）」时间重叠（上一项到 13:00，本项 12:00 开始） → 请把本项的开始时间排到上一项结束之后 2. [LOW] 预计花费 540 元，略超预算 8%（总计 500 元） → 可以保留，若想控制成本可把其中一项换成免费点位	2026-09-23 21:04:58
2125	351	ROUTE	map	NULL	NULL	NULL	NULL	74126	1	NULL		2026-09-23 21:04:58
2126	351	COPY	NULL	NULL	NULL	NULL	NULL	12255	0	CLIENT_DISCONNECTED	客户端断开已中断，已产出 378 tokens，按均值估算本次节省约 434 tokens；已产出 529 字符；已停止后续生成。取消原因：客户端断开（发送 delta 事件失败：AsyncRequestNotUsableException）	2026-09-23 21:05:10
2127	352	PARSE	glm	glm-5.3-flash	1070	105	1175	3574	1	NULL		2026-09-23 21:06:02
2128	352	CANDIDATE	glm	glm-5.3-flash	698	757	1455	26469	1	NULL		2026-09-23 21:06:29
2129	352	COMPOSE	glm	glm-5.3-flash	1311	1177	2488	12134	1	NULL		2026-09-23 21:06:41
2130	352	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、0 个一般问题未能自动解决；1. [LOW] 预计花费 530 元，略超预算 6%（总计 500 元） → 可以保留，若想控制成本可把其中一项换成免费点位	2026-09-23 21:06:41
2131	352	ROUTE	map	NULL	NULL	NULL	NULL	42248	1	NULL		2026-09-23 21:06:41
2132	352	COPY	glm	glm-5.3-flash	1126	360	1486	10876	1	NULL		2026-09-23 21:06:52
2133	353	PARSE	glm	glm-5.3-flash	1070	75	1145	2568	1	NULL		2026-09-23 21:06:53
2134	353	CANDIDATE	glm	glm-5.3-flash	698	931	1629	32143	1	NULL		2026-09-23 21:07:25
2135	353	COMPOSE	glm	glm-5.3-flash	1477	1030	2507	23220	1	NULL		2026-09-23 21:07:48
2136	353	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「寿阳羊杂割小吃店」：结束时间 18:10 超出活动窗口 18:00 → 请压缩时长或调整开始时间；只有晚餐可以排在 18:00 之后	2026-09-23 21:07:48
2137	353	COMPOSE	glm	glm-5.3-flash	1584	954	2538	31725	1	NULL		2026-09-23 21:08:20
2138	353	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 1 轮校验：有 0 个严重问题、1 个一般问题未能自动解决；1. [MEDIUM] 第 2 天 的「寿阳羊杂割小吃店」：与上一项「寿阳古城老街」时间重叠（上一项到 17:30，本项 17:20 开始） → 请把本项的开始时间排到上一项结束之后	2026-09-23 21:08:20
2139	353	ROUTE	map	NULL	NULL	NULL	NULL	89734	1	NULL		2026-09-23 21:08:20
2140	353	COPY	glm	glm-5.3-flash	1042	374	1416	13163	1	NULL		2026-09-23 21:08:33
2141	354	PARSE	glm	glm-5.3-flash	1070	78	1148	2582	1	NULL		2026-09-23 21:08:36
2142	354	CANDIDATE	glm	glm-5.3-flash	698	1358	2056	60337	1	NULL		2026-09-23 21:09:36
2143	354	COMPOSE	glm	glm-5.3-flash	1414	1336	2750	38164	1	NULL		2026-09-23 21:10:15
2144	354	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 21:10:15
2145	354	ROUTE	map	NULL	NULL	NULL	NULL	101149	1	NULL		2026-09-23 21:10:15
2146	354	COPY	glm	glm-5.3-flash	1105	369	1474	12159	1	NULL		2026-09-23 21:10:27
2147	355	PARSE	glm	glm-5.3-flash	1070	58	1128	1786	1	NULL		2026-09-23 21:10:30
2148	355	CANDIDATE	glm	glm-5.3-flash	698	945	1643	41178	1	NULL		2026-09-23 21:11:11
2149	355	COMPOSE	glm	glm-5.3-flash	1322	933	2255	27655	1	NULL		2026-09-23 21:11:38
2150	355	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 21:11:38
2151	355	ROUTE	map	NULL	NULL	NULL	NULL	70690	1	NULL		2026-09-23 21:11:38
2152	355	COPY	NULL	NULL	NULL	NULL	NULL	14472	0	CLIENT_DISCONNECTED	客户端断开已中断，已产出 403 tokens，按均值估算本次节省约 417 tokens；已产出 593 字符；已停止后续生成。取消原因：客户端断开（发送 delta 事件失败：AsyncRequestNotUsableException）	2026-09-23 21:11:53
